"Region_Country_Area_Code","Region_Country_Area_Name","Year","pop_annl_increase","tot_fertil_rate","infant_mortal","maternal_mortal","life_expect_both_sexes","life_expect_males","life_expec_females"
1,"Total, all countries or areas",2005,1.3,2.6,49.1,288.0,67.2,65.0,69.5
1,"Total, all countries or areas",2010,1.2,2.6,41.3,246.0,69.1,66.9,71.3
1,"Total, all countries or areas",2015,1.2,2.5,35.0,216.0,70.8,68.6,73.1
2,"Africa",2005,2.5,5.1,80.7,0.0,53.7,52.2,55.2
2,"Africa",2010,2.5,4.9,68.1,0.0,57.0,55.5,58.4
2,"Africa",2015,2.6,4.7,57.2,0.0,60.2,58.6,61.9
4,"Afghanistan",2005,4.4,7.2,89.5,821.0,56.9,55.8,58.1
4,"Afghanistan",2010,2.8,6.4,76.7,584.0,60.0,58.9,61.3
4,"Afghanistan",2015,3.2,5.3,68.6,396.0,62.3,61.1,63.5
5,"South America",2005,1.3,2.4,25.5,0.0,71.7,68.1,75.5
5,"South America",2010,1.1,2.1,20.3,0.0,73.2,69.6,76.9
5,"South America",2015,1.0,2.0,17.1,0.0,74.5,71.0,78.1
8,"Albania",2005,-0.3,1.9,21.1,30.0,74.8,72.3,77.8
8,"Albania",2010,-0.9,1.6,16.8,30.0,75.6,73.2,78.5
8,"Albania",2015,-0.1,1.7,14.6,29.0,77.7,75.6,79.9
9,"Oceania",2005,1.4,2.4,25.2,0.0,75.7,73.1,78.2
9,"Oceania",2010,1.7,2.5,22.4,0.0,77.0,74.6,79.4
9,"Oceania",2015,1.5,2.4,20.8,0.0,77.9,75.7,80.2
11,"Western Africa",2005,2.6,6.0,95.7,0.0,49.3,48.4,50.2
11,"Western Africa",2010,2.7,5.8,82.7,0.0,52.3,51.5,53.2
11,"Western Africa",2015,2.7,5.5,70.5,0.0,54.7,53.9,55.6
12,"Algeria",2005,1.3,2.4,37.3,148.0,71.5,70.1,72.9
12,"Algeria",2010,1.6,2.7,32.6,147.0,73.9,72.6,75.2
12,"Algeria",2015,2.0,3.0,27.7,140.0,75.3,74.1,76.5
13,"Central America",2005,1.4,2.8,23.3,0.0,73.9,71.3,76.5
13,"Central America",2010,1.6,2.5,21.8,0.0,74.9,72.3,77.4
13,"Central America",2015,1.5,2.4,20.0,0.0,75.8,73.2,78.4
14,"Eastern Africa",2005,2.8,5.8,77.4,0.0,52.0,50.4,53.5
14,"Eastern Africa",2010,2.9,5.3,62.8,0.0,57.0,55.5,58.5
14,"Eastern Africa",2015,2.8,4.9,52.2,0.0,61.5,59.5,63.4
15,"Northern Africa",2005,1.7,3.2,39.3,95.0,67.9,66.0,69.9
15,"Northern Africa",2010,1.7,3.1,33.3,82.0,69.6,67.7,71.6
15,"Northern Africa",2015,1.9,3.3,28.1,70.0,71.1,69.4,72.8
16,"American Samoa",2005,0.5,0.0,0.0,0.0,0.0,0.0,0.0
16,"American Samoa",2006,0.0,0.0,0.0,0.0,0.0,68.5,76.2
16,"American Samoa",2010,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
16,"American Samoa",2011,0.0,0.0,0.0,0.0,0.0,71.1,77.8
16,"American Samoa",2012,0.0,0.0,9.6,0.0,0.0,0.0,0.0
16,"American Samoa",2013,0.0,2.6,0.0,0.0,0.0,0.0,0.0
16,"American Samoa",2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Middle Africa",2005,3.1,6.4,100.1,0.0,50.8,49.3,52.2
17,"Middle Africa",2010,3.2,6.2,84.6,0.0,54.4,52.9,55.9
17,"Middle Africa",2015,3.1,5.9,72.2,0.0,57.4,55.8,59.1
18,"Southern Africa",2005,1.3,2.9,62.4,0.0,53.2,50.7,55.8
18,"Southern Africa",2010,1.1,2.7,53.7,0.0,53.0,50.6,55.4
18,"Southern Africa",2015,1.4,2.6,38.0,0.0,59.3,56.0,62.7
20,"Andorra",2005,3.7,1.2,0.0,0.0,0.0,0.0,0.0
20,"Andorra",2010,1.4,1.2,0.0,0.0,0.0,0.0,0.0
20,"Andorra",2012,0.0,1.2,0.0,0.0,0.0,0.0,0.0
20,"Andorra",2015,-1.6,0.0,0.0,0.0,0.0,0.0,0.0
21,"Northern America",2005,0.9,2.0,6.9,0.0,77.4,74.8,80.0
21,"Northern America",2010,0.9,2.0,6.7,0.0,78.4,75.9,80.9
21,"Northern America",2015,0.7,1.9,5.9,0.0,79.2,76.8,81.5
24,"Angola",2005,3.5,6.6,108.3,705.0,50.0,47.5,52.5
24,"Angola",2010,3.6,6.4,83.8,561.0,55.6,53.0,58.2
24,"Angola",2015,3.5,6.0,65.4,477.0,60.2,57.4,63.0
28,"Antigua and Barbuda",2005,1.3,2.3,12.2,0.0,74.1,71.5,76.4
28,"Antigua and Barbuda",2010,1.2,2.2,10.0,0.0,75.0,72.6,77.4
28,"Antigua and Barbuda",2015,1.1,2.1,9.1,0.0,75.8,73.3,78.2
29,"Caribbean",2005,0.9,2.5,33.0,0.0,70.0,67.4,72.6
29,"Caribbean",2010,0.8,2.4,30.4,0.0,71.3,68.7,74.0
29,"Caribbean",2015,0.7,2.3,27.0,0.0,72.4,69.8,75.2
30,"Eastern Asia",2005,0.6,1.5,23.2,48.0,74.2,72.3,76.2
30,"Eastern Asia",2010,0.5,1.6,15.7,36.0,75.7,73.8,77.8
30,"Eastern Asia",2015,0.5,1.6,11.0,27.0,76.8,74.9,78.7
31,"Azerbaijan",2005,1.0,1.9,54.2,34.0,67.4,64.6,70.3
31,"Azerbaijan",2010,1.1,1.8,40.7,27.0,70.1,66.9,73.4
31,"Azerbaijan",2015,1.3,2.1,31.4,25.0,71.6,68.6,74.6
32,"Argentina",2005,1.1,2.5,15.0,58.0,74.3,70.6,78.1
32,"Argentina",2010,1.0,2.4,14.6,58.0,75.2,71.3,79.0
32,"Argentina",2015,1.0,2.3,13.7,52.0,76.0,72.2,79.8
34,"Southern Asia",2005,1.7,3.2,61.4,288.0,64.0,63.1,65.0
34,"Southern Asia",2010,1.5,2.9,51.9,221.0,65.9,64.9,67.0
34,"Southern Asia",2015,1.3,2.5,44.1,176.0,67.9,66.5,69.4
35,"South-eastern Asia",2005,1.4,2.5,34.1,166.0,68.1,65.4,70.9
35,"South-eastern Asia",2010,1.2,2.4,28.6,136.0,69.4,66.5,72.3
35,"South-eastern Asia",2015,1.2,2.3,24.0,110.0,70.5,67.7,73.4
36,"Australia",2005,1.2,1.8,4.9,7.0,80.3,77.8,82.8
36,"Australia",2010,1.8,2.0,4.4,6.0,81.5,79.2,83.8
36,"Australia",2015,1.5,1.9,3.9,6.0,82.3,80.2,84.4
39,"Southern Europe",2005,0.6,1.4,5.8,0.0,78.8,75.6,81.8
39,"Southern Europe",2010,0.5,1.4,4.7,0.0,80.0,77.1,82.9
39,"Southern Europe",2015,-0.2,1.4,4.0,0.0,81.1,78.4,83.7
40,"Austria",2005,0.5,1.4,4.5,5.0,78.9,75.9,81.7
40,"Austria",2010,0.4,1.4,3.8,4.0,80.1,77.3,82.8
40,"Austria",2015,0.6,1.4,3.3,4.0,81.0,78.4,83.5
44,"Bahamas",2005,2.0,1.9,11.6,74.0,73.2,70.0,76.2
44,"Bahamas",2010,1.8,1.9,10.0,85.0,74.3,71.2,77.3
44,"Bahamas",2015,1.4,1.8,9.1,80.0,75.1,72.0,78.1
48,"Bahrain",2005,5.8,2.7,9.8,20.0,74.9,74.2,75.9
48,"Bahrain",2010,6.7,2.3,8.0,16.0,75.7,74.9,76.7
48,"Bahrain",2015,2.0,2.1,6.9,15.0,76.4,75.6,77.5
50,"Bangladesh",2005,1.7,2.9,56.0,319.0,66.7,66.2,67.3
50,"Bangladesh",2010,1.2,2.5,43.3,242.0,69.0,68.2,70.0
50,"Bangladesh",2015,1.2,2.2,33.3,176.0,71.2,69.8,72.9
51,"Armenia",2005,-0.6,1.7,27.0,40.0,72.4,69.1,75.3
51,"Armenia",2010,-0.7,1.7,21.0,33.0,72.7,69.4,75.8
51,"Armenia",2015,0.3,1.7,13.2,25.0,74.0,70.6,77.0
52,"Barbados",2005,0.3,1.8,12.4,40.0,73.8,71.4,76.0
52,"Barbados",2010,0.4,1.8,11.0,33.0,74.6,72.1,76.9
52,"Barbados",2015,0.3,1.8,9.6,27.0,75.4,72.9,77.7
53,"Australia and New Zealand",2005,1.2,1.8,5.0,0.0,80.1,77.6,82.6
53,"Australia and New Zealand",2010,1.7,2.0,4.5,0.0,81.3,79.0,83.5
53,"Australia and New Zealand",2015,1.4,1.9,4.0,0.0,82.1,80.1,84.2
54,"Melanesia",2005,2.2,4.2,51.0,0.0,63.7,61.4,66.1
54,"Melanesia",2010,2.2,3.9,47.3,0.0,65.2,62.9,67.7
54,"Melanesia",2015,2.0,3.7,44.3,0.0,66.1,63.8,68.7
56,"Belgium",2005,0.5,1.7,4.2,8.0,78.4,75.3,81.4
56,"Belgium",2010,0.7,1.8,3.8,8.0,79.6,76.8,82.3
56,"Belgium",2015,0.6,1.8,3.5,7.0,80.5,78.0,83.0
57,"Micronesia",2005,0.2,3.2,31.0,0.0,70.9,68.9,73.1
57,"Micronesia",2010,0.0,3.0,29.1,0.0,71.9,69.7,74.3
57,"Micronesia",2015,0.6,3.0,27.9,0.0,72.8,70.5,75.3
60,"Bermuda",2005,0.3,1.8,0.0,0.0,0.0,0.0,0.0
60,"Bermuda",2010,-0.4,1.7,0.0,0.0,79.3,76.9,82.3
60,"Bermuda",2015,-0.6,1.5,0.0,0.0,0.0,77.3,84.9
60,"Bermuda",2016,0.0,1.5,0.0,0.0,0.0,77.5,85.1
61,"Polynesia",2005,0.9,3.3,19.9,0.0,71.6,68.9,74.6
61,"Polynesia",2010,0.5,3.2,17.6,0.0,73.2,70.6,76.1
61,"Polynesia",2015,0.5,3.0,15.2,0.0,74.5,72.0,77.4
62,"South-central Asia",2005,1.7,3.2,61.0,0.0,64.1,63.1,65.1
62,"South-central Asia",2010,1.5,2.8,51.4,0.0,66.0,64.9,67.2
62,"South-central Asia",2015,1.4,2.5,43.4,0.0,67.9,66.5,69.5
64,"Bhutan",2005,2.7,3.1,51.9,308.0,62.9,62.7,63.1
64,"Bhutan",2010,2.1,2.6,39.5,204.0,66.5,66.3,66.7
64,"Bhutan",2015,1.6,2.2,30.5,148.0,68.8,68.6,68.9
68,"Bolivia (Plurin. State of)",2005,1.8,3.8,61.2,305.0,62.1,60.1,64.3
68,"Bolivia (Plurin. State of)",2010,1.7,3.4,51.0,253.0,64.9,62.7,67.3
68,"Bolivia (Plurin. State of)",2015,1.6,3.0,42.9,206.0,67.7,65.3,70.2
70,"Bosnia and Herzegovina",2005,0.1,1.3,9.9,14.0,74.8,72.0,77.5
70,"Bosnia and Herzegovina",2010,-0.3,1.3,9.0,13.0,75.5,72.9,78.1
70,"Bosnia and Herzegovina",2015,-1.0,1.3,7.6,11.0,76.3,73.7,78.8
