"Region_Country_Area_Code","Region_Country_Area_Name","Year","Cur_health_exp","dom_gen_govern_health_exp","pop_annl_increase","tot_fertil_rate","infant_mortal","maternal_mortal","life_expect_both_sexes","life_expect_males","life_expec_females"
4,"Afghanistan",2005,9.9483,3.371,4.4,7.2,89.5,821.0,56.9,55.8,58.1
4,"Afghanistan",2010,8.5697,2.2555,2.8,6.4,76.7,584.0,60.0,58.9,61.3
4,"Afghanistan",2015,10.094,2.0144,3.2,5.3,68.6,396.0,62.3,61.1,63.5
8,"Albania",2005,6.3428,9.6865,-0.3,1.9,21.1,30.0,74.8,72.3,77.8
8,"Albania",2010,5.01,8.464,-0.9,1.6,16.8,30.0,75.6,73.2,78.5
8,"Albania",2015,6.8197,9.5081,-0.1,1.7,14.6,29.0,77.7,75.6,79.9
12,"Algeria",2005,3.2352,8.2694,1.3,2.4,37.3,148.0,71.5,70.1,72.9
12,"Algeria",2010,5.1172,9.5448,1.6,2.7,32.6,147.0,73.9,72.6,75.2
12,"Algeria",2015,6.9829,10.7331,2.0,3.0,27.7,140.0,75.3,74.1,76.5
20,"Andorra",2005,8.566,10.9966,3.7,1.2,0.0,0.0,0.0,0.0,0.0
20,"Andorra",2010,9.4497,10.8924,1.4,1.2,0.0,0.0,0.0,0.0,0.0
20,"Andorra",2015,10.2612,15.2437,-1.6,0.0,0.0,0.0,0.0,0.0,0.0
24,"Angola",2005,3.7348,4.8206,3.5,6.6,108.3,705.0,50.0,47.5,52.5
24,"Angola",2010,2.7367,4.2496,3.6,6.4,83.8,561.0,55.6,53.0,58.2
24,"Angola",2015,2.9504,4.5626,3.5,6.0,65.4,477.0,60.2,57.4,63.0
28,"Antigua and Barbuda",2005,4.5266,11.8797,1.3,2.3,12.2,0.0,74.1,71.5,76.4
28,"Antigua and Barbuda",2010,5.4495,16.991,1.2,2.2,10.0,0.0,75.0,72.6,77.4
28,"Antigua and Barbuda",2015,4.716,12.3034,1.1,2.1,9.1,0.0,75.8,73.3,78.2
31,"Azerbaijan",2005,7.3978,3.9138,1.0,1.9,54.2,34.0,67.4,64.6,70.3
31,"Azerbaijan",2010,4.9114,3.6419,1.1,1.8,40.7,27.0,70.1,66.9,73.4
31,"Azerbaijan",2015,6.839,3.6942,1.3,2.1,31.4,25.0,71.6,68.6,74.6
32,"Argentina",2005,7.629,16.0222,1.1,2.5,15.0,58.0,74.3,70.6,78.1
32,"Argentina",2010,8.612,16.693,1.0,2.4,14.6,58.0,75.2,71.3,79.0
32,"Argentina",2015,8.7433,16.5743,1.0,2.3,13.7,52.0,76.0,72.2,79.8
36,"Australia",2005,7.9958,16.335,1.2,1.8,4.9,7.0,80.3,77.8,82.8
36,"Australia",2010,8.4452,16.2633,1.8,2.0,4.4,6.0,81.5,79.2,83.8
36,"Australia",2015,9.3301,17.2366,1.5,1.9,3.9,6.0,82.3,80.2,84.4
40,"Austria",2005,9.627,13.6724,0.5,1.4,4.5,5.0,78.9,75.9,81.7
40,"Austria",2010,10.221,14.0038,0.4,1.4,3.8,4.0,80.1,77.3,82.8
40,"Austria",2015,10.3429,14.7707,0.6,1.4,3.3,4.0,81.0,78.4,83.5
44,"Bahamas",2005,4.5954,16.214,2.0,1.9,11.6,74.0,73.2,70.0,76.2
44,"Bahamas",2010,5.9231,17.2666,1.8,1.9,10.0,85.0,74.3,71.2,77.3
44,"Bahamas",2015,5.9875,15.8685,1.4,1.8,9.1,80.0,75.1,72.0,78.1
48,"Bahrain",2005,3.1756,8.6178,5.8,2.7,9.8,20.0,74.9,74.2,75.9
48,"Bahrain",2010,3.8429,8.4764,6.7,2.3,8.0,16.0,75.7,74.9,76.7
48,"Bahrain",2015,4.9751,8.8287,2.0,2.1,6.9,15.0,76.4,75.6,77.5
50,"Bangladesh",2005,2.2755,4.3888,1.7,2.9,56.0,319.0,66.7,66.2,67.3
50,"Bangladesh",2010,2.4959,4.4394,1.2,2.5,43.3,242.0,69.0,68.2,70.0
50,"Bangladesh",2015,2.4631,3.3797,1.2,2.2,33.3,176.0,71.2,69.8,72.9
51,"Armenia",2005,7.0349,7.4115,-0.6,1.7,27.0,40.0,72.4,69.1,75.3
51,"Armenia",2010,5.2642,6.4431,-0.7,1.7,21.0,33.0,72.7,69.4,75.8
51,"Armenia",2015,10.1176,6.1153,0.3,1.7,13.2,25.0,74.0,70.6,77.0
52,"Barbados",2005,6.6335,13.239,0.3,1.8,12.4,40.0,73.8,71.4,76.0
52,"Barbados",2010,6.774,10.7378,0.4,1.8,11.0,33.0,74.6,72.1,76.9
52,"Barbados",2015,7.0127,9.1405,0.3,1.8,9.6,27.0,75.4,72.9,77.7
56,"Belgium",2005,8.9663,14.314,0.5,1.7,4.2,8.0,78.4,75.3,81.4
56,"Belgium",2010,9.8411,15.1902,0.7,1.8,3.8,8.0,79.6,76.8,82.3
56,"Belgium",2015,10.1056,15.6736,0.6,1.8,3.5,7.0,80.5,78.0,83.0
60,"Bermuda",2005,0.0,0.0,0.3,1.8,0.0,0.0,0.0,0.0,0.0
60,"Bermuda",2010,0.0,0.0,-0.4,1.7,0.0,0.0,79.3,76.9,82.3
60,"Bermuda",2015,0.0,0.0,-0.6,1.5,0.0,0.0,0.0,77.3,84.9
64,"Bhutan",2005,4.0196,6.7703,2.7,3.1,51.9,308.0,62.9,62.7,63.1
64,"Bhutan",2010,3.4736,5.5985,2.1,2.6,39.5,204.0,66.5,66.3,66.7
